Id,Estado,LatitudGP,LongitudGP,factor,p151,region,cdmx,rururb,educ,educ_padre,educ_madre,iriq_or,quintil_or,iriq_des,quintil_des,clases_padre,clases_madre,clases,anesc_pad,anesc_mad,anesc_ent,mujer
1,1,21.901477,-102.31043,303,8,3,,0,5,1,1,-1.065045,1,0.3698638,4,1,,,0,0,15,1
2,1,21.900773,-102.31114,808,8,3,,0,4,2,1,-0.8763935,2,-0.4120046,3,1,,,9,0,12,0
3,1,21.900549,-102.31336,808,8,3,,0,5,,3,,,0.9245651,5,2,,,,12,15,0
4,1,21.900765,-102.31314,303,9,3,,0,3,,,-0.0988331,3,0.2681352,4,3,,,,,12,1
5,1,21.900577,-102.31273,303,8,3,,0,2,3,3,-0.6914254,2,-1.028079,1,3,,,12,12,9,1
6,1,21.900033,-102.31227,1315,9,3,,0,5,1,3,0.3439629,4,1.557044,5,1,5,4,0,11,15,1
7,1,21.899996,-102.31262,1120,8,3,,0,5,6,6,2.640181,5,1.830348,5,6,4,5,21,21,15,0
8,1,21.89963,-102.31236,397,10,3,,0,4,1,2,-0.5032915,2,-1.28825,1,1,,5,0,9,12,1
9,1,21.901529,-102.30034,303,10,3,,0,2,1,1,-0.5024566,2,0.1294418,3,4,,,0,0,8,1
10,1,21.901681,-102.30006,303,9,3,,0,6,1,1,0.7672917,4,1.756409,5,3,4,6,0,0,19,1
11,1,21.90124,-102.30028,808,6,3,,0,4,1,2,-0.2680967,3,0.4191322,4,2,,3,0,9,12,0
12,1,21.901126,-102.30071,303,8,3,,0,3,1,1,0.3094597,4,-0.6165651,2,1,,,0,0,12,1
13,1,21.901308,-102.3003,1907,6,3,,0,4,5,3,0.8450288,5,1.928809,5,2,3,4,15,11,12,0
14,1,21.901283,-102.30029,808,9,3,,0,6,6,6,1.302861,5,2.615912,5,6,5,6,20,19,21,0
15,1,21.901619,-102.30038,1688,8,3,,0,5,5,4,1.978242,5,1.69193,5,6,,,15,12,19,1
16,1,21.902753,-102.29742,1688,9,3,,0,6,,3,,,0.1932034,4,,3,5,,12,22,1
17,1,21.902001,-102.29719,303,8,3,,0,3,2,3,-0.0979982,3,0.2484269,4,1,,,9,12,12,1
18,1,21.902213,-102.29725,808,11,3,,0,3,2,2,-0.1092061,3,-0.5159104,2,4,,,9,8,12,0
19,1,21.898145,-102.29708,1688,9,3,,0,6,6,4,2.018648,5,0.2408115,4,4,4,6,20,14,21,1
20,1,21.897583,-102.29712,808,9,3,,0,3,,,-0.3143227,3,-1.06332,1,3,,,,,12,0
21,1,21.89703,-102.29741,303,9,3,,0,3,2,2,-1.06326,1,-0.6323472,2,4,,,9,9,12,1
22,1,21.896402,-102.29636,808,8,3,,0,6,3,2,0.4138047,4,0.3113703,4,4,4,2,12,11,21,0
23,1,21.896616,-102.29665,1315,8,3,,0,5,5,4,-0.1149809,3,0.0315521,3,,,,15,12,15,1
24,1,21.895325,-102.29649,808,8,3,,0,6,4,3,-0.2869671,3,1.830348,5,4,,,14,12,21,0
25,1,21.895678,-102.29614,303,7,3,,0,2,2,2,-1.254014,1,-0.9832894,1,1,,,8,8,9,1
26,1,21.897042,-102.29844,303,10,3,,0,6,5,5,0.5490795,4,2.425017,5,3,6,6,15,15,21,1
27,1,21.897644,-102.29864,808,6,3,,0,2,1,1,,,-0.6148376,2,,,4,0,0,11,0
28,1,21.896858,-102.29844,1315,7,3,,0,4,3,3,,,0.465281,4,1,,,12,12,12,1
29,1,21.891033,-102.30973,303,8,3,,0,3,1,1,-1.067148,1,-0.6030686,2,,2,2,0,0,12,1
30,1,21.891588,-102.3096,1120,7,3,,0,4,1,3,1.132993,5,-0.2768171,3,1,,,0,12,12,0
31,1,21.891352,-102.31032,303,6,3,,0,2,1,1,-0.8782917,1,1.779803,5,1,2,2,0,0,8,1
32,1,21.8917,-102.3095,808,8,3,,0,3,1,3,-1.254014,1,-0.219106,3,1,,4,0,12,12,0
33,1,21.891662,-102.30942,808,11,3,,0,3,2,2,-1.254014,1,-0.4216775,3,1,,4,7,7,12,0
34,1,21.892161,-102.30927,760,9,3,,0,4,2,1,-0.1149809,3,-0.010046,3,3,,3,9,0,12,0
35,1,21.889825,-102.30905,597,10,3,,0,1,1,2,-1.254014,1,-0.0649958,3,1,,2,0,9,,0
36,1,21.890077,-102.30934,597,6,3,,0,4,2,2,0.3094597,4,-0.5287035,2,3,,3,9,8,14,0
